"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000166183",10.4600864869271,0.115569405083119,0.859341308657633,0.134486034732404,0.893018253438881,0.94065769120931
"ENSG00000131400",7.20897319134638,0.138972221600576,1.03713203092803,0.133996653710737,0.893405220524676,0.940969668890404
"ENSG00000124743",80.7418905438031,-0.0429644676279558,0.322110573077274,-0.133384220261682,0.89388952430128,0.941191776409293
"ENSG00000068985",92.3974816269434,0.0407703333713563,0.305236019206785,0.133569863338232,0.893742716174746,0.941191776409293
"ENSG00000168282",14.4762522947306,-0.102750285932907,0.769831215025671,-0.13347118683604,0.893820749940455,0.941191776409293
"ENSG00000167604",76.3821950777978,-0.0441403491286351,0.330810423569784,-0.133430950126406,0.893852569583578,0.941191776409293
"ENSG00000179532",131.547057678966,0.0349313787951522,0.262410770707476,0.133117168555905,0.894100717440152,0.941270187203413
"ENSG00000269699",6.16246855527095,-0.146414371564102,1.0994313129928,-0.133172822925647,0.894056703542103,0.941270187203413
"ENSG00000160352",1184.51193473721,-0.0189604807617895,0.142598889479935,-0.132963733665383,0.894222062118399,0.941325961262098
"ENSG00000181513",263.360500980589,0.0274256205647064,0.206612028039384,0.132739709420395,0.894399237152629,0.941440493567354
"ENSG00000167123",4.66012013588364,0.166287017861872,1.25935681690406,0.132041225830392,0.89495168370706,0.94191180097213
"ENSG00000140848",329.192858234557,0.0261459709429359,0.198074625188393,0.13200060794293,0.894983810888109,0.94191180097213
"ENSG00000113558",244.506256056656,0.0268864843864585,0.204278722529458,0.131616665962758,0.895287502675793,0.941971836962777
"ENSG00000197153",7.73953464802204,-0.132606071687205,1.00777871852009,-0.131582528237882,0.895314505797942,0.941971836962777
"ENSG00000185697",495.114414797417,-0.0232507197695823,0.176363628749684,-0.131833983766474,0.89511560598177,0.941971836962777
"ENSG00000130522",639.280427602814,0.0657071483030902,0.49894013815748,0.131693450332014,0.895226766274261,0.941971836962777
"ENSG00000145740",1232.11568971698,0.0163369828027161,0.124484104723034,0.131237500876634,0.895587431080748,0.942115007911286
"ENSG00000167193",1640.43587008783,0.0153531640997938,0.116915281899228,0.131318710868157,0.895523190830544,0.942115007911286
"ENSG00000108518",12096.6247617145,-0.0134712977118994,0.102829596141643,-0.131006035396106,0.895770533000499,0.942235635514428
"ENSG00000166959",11.9413322669751,0.10614215697658,0.811259003886863,0.130836337677655,0.89590477675289,0.942304856092776
"ENSG00000162368",5881.02559710862,-0.0139353553867335,0.106882306110372,-0.130380377200536,0.896265490788789,0.942420704716151
"ENSG00000143367",658.794630643244,-0.0208675898981395,0.160148404238055,-0.130301578697722,0.896327831099515,0.942420704716151
"ENSG00000100503",1809.90563827997,0.0174337052638717,0.133750283466687,0.130345183666201,0.896293333572,0.942420704716151
"ENSG00000205423",168.769279259165,0.0322516437415206,0.246954202582891,0.130597671164131,0.896093585090543,0.942420704716151
"ENSG00000140650",1180.85197191227,0.0165058975941131,0.126710612028387,0.130264524256384,0.896357146413153,0.942420704716151
"ENSG00000099817",2349.19232085823,-0.0169949691951762,0.130681213487436,-0.13004906169478,0.896527610632325,0.942527958371878
"ENSG00000204385",757.601648720986,-0.0183328185113926,0.141262428957644,-0.129778446021833,0.896741716261161,0.942681072774464
